id,codexid,cote,element,theme
38230,47,E_10_12,ce,06.01.01
38231,47,E_10_12,tecpatl,04.04.08
38232,47,E_10_12,coztic,08.01.06
38233,47,E_10_12,matlalin,08.01.08
38234,47,E_10_13,xihuitl_4,06.01.04
38235,47,E_10_13,ce,06.01.01
38236,47,E_10_13,calli,05.01.01
38237,47,E_10_13,matlalin,08.01.08
38238,47,E_10_14,xihuitl_4,06.01.04
38239,47,E_10_14,ce,06.01.01
38240,47,E_10_14,tochtli,02.02.08
38241,47,E_10_14,matlalin,08.01.08
38242,47,E_10_15,xihuitl_4,06.01.04
38243,47,E_10_15,ce,06.01.01
38244,47,E_10_15,acatl,03.02.05
38245,47,E_10_15,coztic,08.01.06
38246,47,E_10_15,matlalin,08.01.08
38247,47,E_10_16,xihuitl_4,06.01.04
38248,47,E_10_16,ce,06.01.01
38249,47,E_10_16,tecpatl,04.04.08
38250,47,E_10_16,coztic,08.01.06
38251,47,E_10_17,xihuitl_4,06.01.04
38252,47,E_10_17,ce,06.01.01
38253,47,E_10_17,calli,05.01.01
38254,47,E_10_17,coztic,08.01.06
38255,47,E_10_18,xihuitl_4,06.01.04
38256,47,E_10_18,ce,06.01.01
38257,47,E_10_18,tochtli,02.02.08
38258,47,E_10_18,coztic,08.01.06
38259,47,E_10_19,xihuitl_4,06.01.04
38260,47,E_10_19,ce,06.01.01
38261,47,E_10_19,acatl,03.02.05
38262,47,E_10_19,coztic,08.01.06
38263,47,E_10_20,xihuitl_4,06.01.04
38264,47,E_10_20,ce,06.01.01
38265,47,E_10_20,tecpatl,04.04.08
38266,47,E_10_20,coztic,08.01.06
38267,47,E_10_21,xihuitl_4,06.01.04
38268,47,E_10_21,ce,06.01.01
38269,47,E_10_21,calli,05.01.01
38270,47,E_10_21,coztic,08.01.06
38271,47,E_10_22,xihuitl_4,06.01.04
38272,47,E_10_22,ce,06.01.01
38273,47,E_10_22,tochtli,02.02.08
38274,47,E_10_22,coztic,08.01.06
38275,47,E_10_23,cohuatl,02.02.20
38276,47,E_10_23,itztli,04.04.06
38277,47,E_10_24,xiuhuitzolli,05.05.07
38278,47,E_10_27,azcatl,02.02.26
38279,47,E_10_27,potzalli,04.03.06
38280,47,E_10_28,popoca,04.02.02
38281,47,E_10_28,teopantli,05.01.09
38282,47,E_11_01,tlalli,04.03.01
38283,47,E_11_02,mecatl,05.11.03
38284,47,E_11_02,tlalpilli,05.12.08
38285,47,E_11_03,macpalli,01.03.07
38286,47,E_11_03,topilli,05.09.13
38287,47,E_11_04,borrado,09.00.28
38288,47,E_11_04,coyotl,02.02.04
38289,47,E_11_06,xihuitl_4,06.01.04
38290,47,E_11_06,ce,06.01.01
38291,47,E_11_06,acatl,03.02.05
38292,47,E_11_06,matlalin,08.01.08
38293,47,E_11_06,coztic,08.01.06
38294,47,E_11_07,xihuitl_4,06.01.04
38295,47,E_11_07,ce,06.01.01
38296,47,E_11_07,tecpatl,04.04.08
38297,47,E_11_07,matlalin,08.01.08
38298,47,E_11_08,xihuitl_4,06.01.04
38299,47,E_11_08,ce,06.01.01
